"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 20:23:38 GMT 2024","Fri Nov 08 20:23:40 GMT 2024","1256","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Fri Nov 08 20:23:29 GMT 2024","Fri Nov 08 20:23:30 GMT 2024","1138","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Fri Nov 08 20:23:35 GMT 2024","Fri Nov 08 20:23:36 GMT 2024","1187","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Fri Nov 08 20:23:28 GMT 2024","Fri Nov 08 20:23:29 GMT 2024","869","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Fri Nov 08 20:23:29 GMT 2024","Fri Nov 08 20:23:29 GMT 2024","598","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Fri Nov 08 20:23:40 GMT 2024","Fri Nov 08 20:23:41 GMT 2024","471","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Fri Nov 08 20:23:36 GMT 2024","Fri Nov 08 20:23:38 GMT 2024","1230","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Fri Nov 08 20:23:24 GMT 2024","Fri Nov 08 20:23:26 GMT 2024","2317","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Fri Nov 08 20:23:26 GMT 2024","Fri Nov 08 20:23:27 GMT 2024","1182","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Fri Nov 08 20:24:12 GMT 2024","Fri Nov 08 20:24:13 GMT 2024","602","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Fri Nov 08 20:24:13 GMT 2024","Fri Nov 08 20:24:13 GMT 2024","293","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Fri Nov 08 20:23:38 GMT 2024","Fri Nov 08 20:23:38 GMT 2024","715","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Fri Nov 08 20:23:34 GMT 2024","Fri Nov 08 20:23:35 GMT 2024","1522","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri Nov 08 20:23:40 GMT 2024","Fri Nov 08 20:23:40 GMT 2024","864","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Fri Nov 08 20:24:06 GMT 2024","Fri Nov 08 20:24:12 GMT 2024","5984","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Fri Nov 08 20:23:42 GMT 2024","Fri Nov 08 20:23:43 GMT 2024","1390","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Fri Nov 08 20:23:41 GMT 2024","Fri Nov 08 20:23:42 GMT 2024","766","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Fri Nov 08 20:23:20 GMT 2024","Fri Nov 08 20:23:23 GMT 2024","3150","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri Nov 08 20:23:43 GMT 2024","Fri Nov 08 20:24:06 GMT 2024","22471","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Fri Nov 08 20:23:27 GMT 2024","Fri Nov 08 20:23:28 GMT 2024","742","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
